condicion,frame,knee_angle_R,knee_angle_L,midline_dev
con_ortesis,0,165.68201826873462,159.95035647369772,4.5
con_ortesis,1,175.17423786411604,160.9566504364653,2.5
con_ortesis,2,174.09298080929253,162.5958331096812,11.0
con_ortesis,3,175.78554568805887,163.49293085416056,13.5
con_ortesis,4,172.3317611158312,164.41882819506844,9.0
con_ortesis,5,171.68467855336723,158.202114889547,12.0
con_ortesis,6,171.9666265006818,158.94935914135885,6.5
con_ortesis,7,169.2983608429906,157.5579612330097,7.5
con_ortesis,8,171.51199009175764,158.20063410559584,5.0
con_ortesis,9,172.56521056026864,161.92998751277497,17.0
con_ortesis,10,177.08817681270673,162.6753446591882,30.0
con_ortesis,11,169.47523792997376,164.38373244061688,35.0
con_ortesis,13,146.8712674169597,177.73750601836204,42.0
con_ortesis,15,162.82710522279407,177.28228441636477,56.0
con_ortesis,16,168.9775209858725,168.08551114223087,70.0
con_ortesis,20,170.631051573397,136.0963709658534,52.5
con_ortesis,21,159.68197375195027,159.8159180174711,34.0
con_ortesis,22,145.36027609947467,160.26626556203234,3.0
con_ortesis,23,173.62337049583613,175.39304193343955,2.0
con_ortesis,24,172.19137083244908,171.09870819636214,27.0
con_ortesis,25,178.84528462155652,173.00090823836888,31.5
con_ortesis,28,165.61917052034622,165.78513126618807,56.5
con_ortesis,29,169.59105919061753,164.85493131748245,46.5
con_ortesis,30,158.76188555488912,170.58965180348946,39.5
con_ortesis,32,177.3610618831185,159.33348107978955,94.5
con_ortesis,33,176.13006235032586,152.39839217473727,32.0
con_ortesis,34,175.1119627143815,161.6896070232456,3.0
con_ortesis,35,161.34206814437064,160.20925859125052,35.0
con_ortesis,36,148.64573465160305,160.06638753419293,1.0
con_ortesis,37,163.11432162669638,177.60467580681916,25.5
con_ortesis,38,169.55104991723954,162.55649343976657,91.5
con_ortesis,39,173.7552951581664,153.8043926850451,43.5
con_ortesis,40,178.43333896433504,173.54065957763063,20.5
con_ortesis,41,165.93876432270523,164.5018662421795,20.0
con_ortesis,42,171.18488789513654,161.3899380901987,40.5
con_ortesis,43,167.02746126193986,160.40559173344394,80.0
con_ortesis,44,170.13697844777602,157.44568625547262,77.5
con_ortesis,45,176.8571024728615,147.70086658986676,89.5
con_ortesis,46,166.9386067093019,173.67527700314963,102.5
con_ortesis,49,176.38898638892718,145.3193732952624,81.0
con_ortesis,50,168.48590221452054,158.5337172754348,68.5
con_ortesis,51,165.32497928225678,149.18876941729786,74.5
con_ortesis,52,172.74627443562977,149.31592775730857,58.0
con_ortesis,53,175.52236375942243,153.68751800719846,29.0
con_ortesis,54,177.5305812608606,158.79678457304803,7.0
con_ortesis,55,172.47776028935615,165.90949325217244,9.5
con_ortesis,56,168.35254106507088,159.98896307747853,17.5
con_ortesis,57,168.5499172167692,163.3619704936243,16.5
con_ortesis,58,169.5374320634063,159.22064273934078,8.5
con_ortesis,59,170.53915151702884,160.91262067382036,1.5
con_ortesis,60,168.81526039297546,167.52916101096122,7.0
con_ortesis,61,170.70216071456275,162.7551316761816,15.0
con_ortesis,63,171.73831177340696,153.39449981925523,46.0
con_ortesis,64,169.5013678640194,145.10222054173556,92.0
con_ortesis,65,172.947708309122,132.47457813947506,116.0
con_ortesis,66,178.42568231506888,150.89387381515667,76.0
con_ortesis,67,176.0148381182849,159.42697495198695,108.5
con_ortesis,68,172.85072797985458,163.0596589401652,109.5
con_ortesis,69,177.90252827656192,173.6682972721004,101.5
con_ortesis,70,177.0666896949371,171.5836993791706,87.0
con_ortesis,71,167.3389734013583,163.78402834486192,93.5
con_ortesis,72,164.99829780849961,170.01677893579642,90.0
con_ortesis,73,162.89283901643051,173.59828219196226,70.0
con_ortesis,74,145.7838229378669,165.3912772208166,29.5
con_ortesis,75,155.77979698427836,169.72320893560908,11.5
con_ortesis,76,152.05456296222155,164.0299219978544,26.5
con_ortesis,77,149.4576589088652,175.9918608571676,23.0
con_ortesis,78,179.5450675020726,137.66101158855895,4.0
con_ortesis,79,176.50924809622228,144.21595369627795,6.5
con_ortesis,80,168.26265767687133,141.5737006581684,12.5
con_ortesis,81,174.42620789484803,142.52225746578887,28.5
con_ortesis,82,173.82922832551313,144.60758580823318,47.0
con_ortesis,83,173.89023227738093,145.57394404164543,60.5
con_ortesis,84,172.03204862276422,149.05129199924735,79.0
con_ortesis,85,175.5295138057998,147.34533043382513,89.5
con_ortesis,86,179.54048236629157,144.6062811500895,116.5
con_ortesis,87,177.09974545324866,138.17331405261513,129.0
con_ortesis,88,177.73595137009428,131.5524162128431,137.0
con_ortesis,89,179.67184754327317,130.98636123546788,137.5
con_ortesis,90,177.67687032856946,138.08888863120657,130.5
con_ortesis,91,168.41589463779013,141.94105300753944,109.0
con_ortesis,92,165.90693038515292,145.57055236759663,99.0
con_ortesis,93,157.07528779955337,148.6854694970642,79.5
con_ortesis,94,157.9837883496947,151.4064717104542,60.0
con_ortesis,95,160.11425520205538,155.22485943115373,36.5
con_ortesis,96,165.52786033296096,162.48674567552527,15.5
con_ortesis,98,176.22878984834725,165.10946920717828,4.5
con_ortesis,99,175.78150390062837,166.78965772341655,31.0
con_ortesis,100,167.3222650835751,164.10051416896195,12.0
con_ortesis,101,171.80593721296924,170.45897308969376,14.0
con_ortesis,102,173.16383806440177,169.1115183182869,22.5
con_ortesis,103,166.33401379824264,160.75959665418856,9.0
con_ortesis,104,170.36589793422036,178.05251671955594,43.5
con_ortesis,105,167.66537122376013,176.51430200717422,52.0
con_ortesis,106,179.66361210030414,176.98850927900327,33.0
con_ortesis,107,167.7637964220598,161.08888043523623,90.5
con_ortesis,108,168.3948021362462,149.0893392635925,100.0
con_ortesis,109,169.5778786327959,134.1680948557018,97.0
con_ortesis,110,137.80482091221074,171.4631792278254,98.0
con_ortesis,111,145.70913409301636,173.72445503652588,87.5
con_ortesis,112,165.40931633720814,158.41869762923682,85.5
con_ortesis,113,170.5362818829925,166.90902427839507,64.5
con_ortesis,114,161.9438671835433,168.3063088917673,98.0
con_ortesis,115,162.83908246429553,162.65118728957881,90.5
con_ortesis,116,162.4117708572988,165.09468912664352,98.0
con_ortesis,117,164.35668129087256,163.50224593549265,82.5
con_ortesis,118,163.42399934227674,161.2524140153237,72.5
con_ortesis,119,167.26494585860223,162.03243350615486,67.5
con_ortesis,121,167.51977286259174,163.40825390587477,49.0
con_ortesis,122,160.53732579289527,167.90524292294688,42.5
con_ortesis,123,165.76634275356648,169.64155289957236,48.0
con_ortesis,124,178.42574526596354,167.01090936076355,39.5
con_ortesis,125,174.41411181188138,164.1151354602729,45.0
con_ortesis,126,170.0407293905724,159.6446998559588,50.0
con_ortesis,127,167.26595318431183,158.29354305981562,40.5
con_ortesis,128,167.76190347768323,155.8235526546969,49.5
con_ortesis,129,164.6879199725568,154.78826834670625,57.0
con_ortesis,130,171.58794598033825,156.69515895532444,68.5
con_ortesis,131,170.00024020032785,153.19493648883014,72.5
con_ortesis,132,174.34567343178307,152.9248261669407,73.5
con_ortesis,133,176.18983243059506,152.76655483849046,87.5
con_ortesis,134,177.55441465870084,150.21815870916382,93.0
con_ortesis,135,169.74564561069278,146.03291090776818,94.0
con_ortesis,136,164.02724610395805,147.00850250221447,95.0
con_ortesis,137,158.98877015634616,147.97448975415827,87.5
con_ortesis,138,156.6292357088737,147.24995293134344,83.0
con_ortesis,139,158.52034688314433,149.80759817803647,78.0
con_ortesis,140,158.0237270846122,154.388513786899,68.5
con_ortesis,141,158.85861682023233,159.2886976492368,51.5
con_ortesis,142,161.79399104312424,166.00003498614743,40.0
con_ortesis,143,169.03420477614037,161.30571997000692,31.0
con_ortesis,144,170.05157592783814,165.12120790477647,13.5
con_ortesis,146,11.861115375299562,6.779131566629015,27.0
con_ortesis,147,165.5297058998835,149.07007023190292,2.5
con_ortesis,148,179.42007290443107,132.17637092957804,1.0
con_ortesis,149,149.41432754442803,161.8586039947846,11.5
con_ortesis,150,14.436218247659577,163.856227760328,20.0
con_ortesis,151,11.613036954429287,162.88026168393407,11.5
con_ortesis,152,134.27455708562468,124.88072287524007,108.0
con_ortesis,153,20.23549346264558,146.61021557995048,63.0
con_ortesis,154,12.085771970579039,33.068231003098674,102.5
con_ortesis,155,177.83688468066183,99.86381812779322,170.5
con_ortesis,156,138.95061813822528,121.28868185503855,138.5
con_ortesis,157,126.09301184009173,106.51628335677353,161.5
con_ortesis,158,143.500544042645,164.77959899375136,189.5
con_ortesis,159,163.92846529055626,66.64834412906875,156.5
con_ortesis,160,8.502729568424675,72.81615789312792,128.0
con_ortesis,161,44.063599614402,146.51995670302873,104.5
con_ortesis,162,123.4533094540557,147.44374510828305,69.5
con_ortesis,163,110.29756977221054,167.37012183170253,100.0
con_ortesis,164,164.31889822016598,177.098979256673,55.5
con_ortesis,165,154.72067315516807,105.08170585626999,53.5
con_ortesis,166,159.28139506128235,160.6503184555904,30.5
con_ortesis,167,72.35141445890297,23.024031818634466,54.5
con_ortesis,168,147.74341981354766,41.568467496996625,4.5
con_ortesis,170,177.01165008348346,169.66254352929076,79.5
con_ortesis,171,174.02843410210704,169.2526485743735,64.5
con_ortesis,172,173.45014593807966,171.7187884921618,60.5
con_ortesis,173,171.92117739950308,173.07922183436057,57.0
con_ortesis,174,171.22258153421,173.26019105173867,56.5
con_ortesis,175,169.6532740603771,172.39995383713503,54.0
con_ortesis,176,167.4383855143481,169.98190939780406,51.0
con_ortesis,177,166.04621226447466,168.15754871765552,53.0
con_ortesis,178,165.0238936909244,166.9543629370004,52.0
con_ortesis,179,164.9529331076964,165.93532939007935,52.5
con_ortesis,180,165.3491752358386,164.41898326159583,55.0
con_ortesis,181,166.9970890882895,163.10613266138017,53.0
con_ortesis,182,170.63857966757956,162.4944923465043,53.0
sin_ortesis,44,136.7084240221408,153.41205798131597,43.5
sin_ortesis,45,137.40440942161175,161.01990969862624,127.5
sin_ortesis,55,130.60129464498056,118.42216386090423,69.0
sin_ortesis,70,169.7629636140141,162.36880089232952,11.0
sin_ortesis,71,168.26747272264973,160.03334272456516,8.0
sin_ortesis,72,173.59122691497706,165.67728002177,20.5
