condition,frame,knee_angle_right,knee_angle_left,midline_deviation
with_orthosis,0,165.68201826881574,159.95035647373726,4.5
with_orthosis,1,175.17423786431965,160.95665043650433,2.5
with_orthosis,2,174.09298080942995,162.59583310971882,11.0
with_orthosis,3,175.78554568825692,163.49293085420075,13.5
with_orthosis,4,172.33176111595824,164.41882819511207,9.0
with_orthosis,5,171.68467855347063,158.20211488957494,12.0
with_orthosis,6,171.96662650078946,158.94935914138713,6.5
with_orthosis,7,169.29836084306947,157.5579612330358,7.5
with_orthosis,8,171.51199009185186,158.20063410562335,5.0
with_orthosis,9,172.56521056037403,161.92998751280868,17.0
with_orthosis,10,177.08817681294514,162.6753446592239,30.0
with_orthosis,11,169.47523793004308,164.38373244065653,35.0
with_orthosis,13,146.87126741698265,177.7375060187043,42.0
with_orthosis,15,162.827105222849,177.2822844166846,56.0
with_orthosis,16,168.97752098595447,168.08551114230033,70.0
with_orthosis,20,170.63105157350876,136.0963709658688,52.5
with_orthosis,21,159.68197375200123,159.81591801751247,34.0
with_orthosis,22,145.36027609950287,160.2662655620823,3.0
with_orthosis,23,173.62337049607046,175.39304193368733,2.0
with_orthosis,24,172.19137083262908,171.0987081964569,27.0
with_orthosis,25,178.8452846227257,173.00090823848453,31.5
with_orthosis,28,165.6191705204448,165.7851312662507,56.5
with_orthosis,29,169.59105919072869,164.85493131753395,46.5
with_orthosis,30,158.7618855549299,170.58965180356822,39.5
with_orthosis,32,177.36106188339525,159.3334810798271,94.5
with_orthosis,33,176.13006235051822,152.39839217476268,32.0
with_orthosis,34,175.11196271453585,161.68960702328528,3.0
with_orthosis,35,161.34206814440543,160.20925859127996,35.0
with_orthosis,36,148.6457346516217,160.06638753422283,1.0
with_orthosis,37,163.11432162673043,177.60467580705233,25.5
with_orthosis,38,169.55104991730198,162.55649343979863,91.5
with_orthosis,39,173.7552951582723,153.80439268506325,43.5
with_orthosis,40,178.43333896477895,173.54065957771292,20.5
with_orthosis,41,165.93876432275195,164.5018662422121,20.0
with_orthosis,42,171.18488789521038,161.38993809022503,40.5
with_orthosis,43,167.027461261989,160.40559173346762,80.0
with_orthosis,44,170.13697844784045,157.44568625549317,77.5
with_orthosis,45,176.85710247306025,147.7008665898794,89.5
with_orthosis,46,166.93860670933827,173.67527700324538,102.5
with_orthosis,49,176.38898638908725,145.3193732952785,81.0
with_orthosis,50,168.48590221457204,158.53371727545843,68.5
with_orthosis,51,165.3249792822947,149.18876941731196,74.5
with_orthosis,52,172.74627443571234,149.31592775732219,58.0
with_orthosis,53,175.52236375959487,153.6875180072186,29.0
with_orthosis,54,177.53058126116238,158.79678457307452,7.0
with_orthosis,55,172.47776028946646,165.90949325221527,9.5
with_orthosis,56,168.35254106513776,159.98896307750394,17.5
with_orthosis,57,168.54991721682615,163.3619704936511,16.5
with_orthosis,58,169.53743206345973,159.22064273936044,8.5
with_orthosis,59,170.53915151708262,160.91262067384002,1.5
with_orthosis,60,168.8152603930147,167.52916101099146,7.0
with_orthosis,61,170.7021607146111,162.75513167620315,15.0
with_orthosis,63,171.7383117734994,153.39449981927697,46.0
with_orthosis,64,169.501367864092,145.10222054174957,92.0
with_orthosis,65,172.9477083092351,132.47457813948432,116.0
with_orthosis,66,178.4256823155607,150.89387381517946,76.0
with_orthosis,67,176.01483811845586,159.4269749520171,108.5
with_orthosis,68,172.8507279799793,163.05965894020827,109.5
with_orthosis,69,177.9025282770967,173.66829727223887,101.5
with_orthosis,70,177.066689695253,171.58369937924655,87.0
with_orthosis,71,167.3389734014218,163.78402834489543,93.5
with_orthosis,72,164.99829780855492,170.0167789358541,90.0
with_orthosis,73,162.89283901648813,173.5982821920665,70.0
with_orthosis,74,145.78382293789036,165.39127722086812,29.5
with_orthosis,75,155.77979698430852,169.7232089356751,11.5
with_orthosis,76,152.05456296224938,164.0299219979042,26.5
with_orthosis,77,149.4576589088883,175.99186085735542,23.0
with_orthosis,78,179.54506750376703,137.66101158856986,4.0
with_orthosis,79,176.50924809643342,144.21595369629088,6.5
with_orthosis,80,168.26265767694883,141.57370065818267,12.5
with_orthosis,81,174.42620789496016,142.5222574657994,28.5
with_orthosis,82,173.8292283256158,144.60758580824458,47.0
with_orthosis,83,173.89023227746915,145.57394404165578,60.5
with_orthosis,84,172.03204862283073,149.05129199925904,79.0
with_orthosis,85,175.5295138059073,147.34533043383487,89.5
with_orthosis,86,179.54048236729096,144.60628115009763,116.5
with_orthosis,87,177.0997454533941,138.1733140526214,129.0
